current_up_to,region_id,iso3_code,document_type,document_subtype,n_dois,with_ref,with_doi_ref,references,references_with_dois,references_with_doi_asserted_by_publisher,references_with_doi_asserted_by_crossref,citations_received,with_abstract,with_license,with_crossmark,with_crossmark_update,crossmark_updates,update_assertions,update_assertions_from_publisher,update_assertions_from_retraction_watch,with_textmining,with_status_info,acknowledges_funding,award_number_assertions,with_grant_id,grant_id_assertions,with_funder_id,funder_id_assertions,with_orcid,with_orcid_for_authors,with_orcid_for_chairs,with_orcid_for_editors,with_orcid_for_translators,orcid_assertions,orcid_for_authors_assertions,orcid_for_chairs_assertions,orcid_for_editors_assertions,orcid_for_translators_assertions,with_ror_id,with_ror_id_for_affiliations,with_ror_id_for_institutions,with_ror_id_for_funders,ror_id_assertions,ror_id_for_affiliations_assertions,ror_id_for_institutions_assertions,ror_id_for_funders_assertions,preprint_to_article_links,retractions
2026-04-30,EAS,AUS,book,NA,3073,113,111,22882,7243,6943,300,34953,1862,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,528,320,0,218,0,860,507,0,353,0,17,17,0,0,42,42,0,0,0,0
2026-04-30,EAS,AUS,book-chapter,NA,20388,3518,3027,237630,120534,69283,51251,25520,1108,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,220,214,0,12,0,311,299,0,12,0,20,20,0,0,27,27,0,0,0,0
2026-04-30,EAS,AUS,component,NA,82,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-30,EAS,AUS,database,NA,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-30,EAS,AUS,dataset,NA,536,0,0,0,0,0,0,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,304,304,0,0,0,576,576,0,0,0,14,14,0,0,22,22,0,0,0,0
2026-04-30,EAS,AUS,dissertation,NA,28693,0,0,0,0,0,0,1809,1577,2855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6522,6522,0,0,0,6522,6522,0,0,0,2994,1617,2898,0,4515,1617,2898,0,0,0
2026-04-30,EAS,AUS,grant,NA,128,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,128,73,73,0,0,0,73,73,0,0,0,90,90,0,0,90,90,0,0,0,0
2026-04-30,EAS,AUS,journal,NA,486,0,0,0,0,0,0,384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-30,EAS,AUS,journal-article,NA,426919,87673,74477,2488044,1528430,1303717,224713,3005550,165713,264119,6241,49,50,50,17,33,189755,0,2999,4037,0,0,2072,3173,20372,20348,0,26,0,38074,38039,0,35,0,1950,1950,0,2,3375,3373,0,2,0,32
2026-04-30,EAS,AUS,journal-issue,NA,10498,9,9,431,164,156,8,582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,3,0,8,0,1,7,0,0,0,0,0,0,0,0,0,0,0
2026-04-30,EAS,AUS,journal-volume,NA,172,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-30,EAS,AUS,other,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-30,EAS,AUS,posted-content,other,218026,34741,34741,157883,157883,157883,0,9133,51,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,6,0
2026-04-30,EAS,AUS,posted-content,preprint,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-30,EAS,AUS,proceedings,NA,176,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-30,EAS,AUS,proceedings-article,NA,15330,34,34,796,473,466,7,67008,663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310,310,0,0,0,630,630,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-30,EAS,AUS,proceedings-series,NA,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-30,EAS,AUS,reference-entry,NA,90905,32575,28617,113518,90385,76848,13537,2379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-30,EAS,AUS,report,NA,16405,77,75,2656,1313,1301,12,4490,1422,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1304,1299,0,7,0,3441,3427,0,14,0,132,100,124,0,419,295,124,0,0,0
2026-04-30,EAS,AUS,report-component,NA,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-30,EAS,AUS,report-series,NA,23,0,0,0,0,0,0,45,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-30,EAS,BRN,journal,NA,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-30,EAS,BRN,journal-article,NA,930,0,0,0,0,0,0,1248,747,673,0,0,0,0,0,0,724,0,0,0,0,0,0,0,13,13,0,0,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-30,EAS,BRN,journal-issue,NA,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-30,EAS,CHN,book,NA,122,1,1,143,122,122,0,131,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,1,0,10,9,0,1,0,2,2,0,0,3,3,0,0,0,0
2026-04-30,EAS,CHN,book-chapter,NA,62,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-30,EAS,CHN,component,NA,117,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-30,EAS,CHN,database,NA,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-30,EAS,CHN,dataset,NA,3149,8,8,8,8,8,0,707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-30,EAS,CHN,dissertation,NA,35,0,0,0,0,0,0,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-30,EAS,CHN,journal,NA,332,0,0,0,0,0,0,6442,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-30,EAS,CHN,journal-article,NA,522751,138547,124155,5239242,3870563,2101388,1769175,2252708,59043,40327,170480,623,618,677,604,73,80347,0,4296,10031,0,0,3127,5609,6017,6016,0,1,0,10287,10286,0,1,0,64,63,0,1,121,120,0,1,0,81
2026-04-30,EAS,CHN,journal-issue,NA,4037,0,0,0,0,0,0,108,0,0,1,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-30,EAS,CHN,journal-volume,NA,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-30,EAS,CHN,peer-review,NA,26,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-30,EAS,CHN,posted-content,other,161,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-30,EAS,CHN,posted-content,preprint,414,0,0,0,0,0,0,82,187,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,118,0,0,673,673,0,0,0,0
2026-04-30,EAS,CHN,proceedings,NA,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-30,EAS,CHN,proceedings-article,NA,569,0,0,0,0,0,0,49,489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-30,EAS,CHN,report,NA,113,0,0,0,0,0,0,32,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-30,EAS,CHN,report-component,NA,24,0,0,0,0,0,0,4,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-30,EAS,CHN,standard,NA,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-30,EAS,FJI,journal,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-30,EAS,FJI,journal-article,NA,76,13,13,896,546,317,229,90,67,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,14,14,0,0,0,34,34,0,0,0,3,3,0,0,6,6,0,0,0,0
2026-04-30,EAS,FJI,journal-issue,NA,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-30,EAS,FJI,journal-volume,NA,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-30,EAS,HKG,book,NA,429,0,0,0,0,0,0,4703,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,28,1,13,5,56,33,1,17,5,0,0,0,0,0,0,0,0,0,0
2026-04-30,EAS,HKG,book-chapter,NA,3960,0,0,0,0,0,0,2995,1295,0,0,0,0,0,0,0,197,0,0,0,0,0,0,0,58,58,0,0,0,66,66,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-30,EAS,HKG,component,NA,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-30,EAS,HKG,database,NA,9,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-30,EAS,HKG,dataset,NA,1988,0,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,31,0,0,0,72,72,0,0,0,89,89,0,0,132,132,0,0,0,0
2026-04-30,EAS,HKG,dissertation,NA,39596,0,0,0,0,0,0,3644,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-30,EAS,HKG,journal,NA,335,0,0,0,0,0,0,992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-30,EAS,HKG,journal-article,NA,99061,19820,14891,450341,261656,110464,151192,170614,37353,30905,2008,3,4,4,3,1,34136,0,292,703,0,0,190,376,2626,2624,0,9,0,5863,5854,0,9,0,578,578,0,15,2193,2169,0,24,0,2
2026-04-30,EAS,HKG,journal-issue,NA,2319,1,0,1,0,0,0,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2026-04-30,EAS,HKG,journal-volume,NA,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-30,EAS,HKG,posted-content,letter,152,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-30,EAS,HKG,posted-content,other,520,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-30,EAS,HKG,proceedings-article,NA,124,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-30,EAS,HKG,proceedings-series,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-30,EAS,HKG,report,NA,743,0,0,0,0,0,0,261,322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,65,0,0,0,65,65,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-30,EAS,HKG,report-component,NA,321,0,0,0,0,0,0,353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-30,EAS,IDN,book,NA,3413,8,8,850,339,338,1,2218,1476,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,481,466,0,19,0,651,631,0,20,0,0,0,0,0,0,0,0,0,0,0
2026-04-30,EAS,IDN,book-chapter,NA,713,36,25,758,94,0,94,109,352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-30,EAS,IDN,book-series,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-30,EAS,IDN,component,NA,4916,0,0,0,0,0,0,187,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-30,EAS,IDN,database,NA,393,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-30,EAS,IDN,dataset,NA,332,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-30,EAS,IDN,dissertation,NA,67,0,0,0,0,0,0,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-30,EAS,IDN,journal,NA,5875,0,0,0,0,0,0,629,0,6,1,0,0,0,0,0,9,0,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-30,EAS,IDN,journal-article,NA,2958493,120579,112683,3058073,1778648,531117,1247531,1464326,2713670,1688968,40075,57,70,82,63,19,2730764,0,10979,9009,0,0,6980,7122,177999,177979,0,25,0,316375,316348,0,27,0,5052,5052,0,14,13287,13273,0,14,0,23
2026-04-30,EAS,IDN,journal-issue,NA,191050,18,18,202,129,104,25,2368,0,23,9,0,0,0,0,0,37,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-30,EAS,IDN,journal-volume,NA,119,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-30,EAS,IDN,posted-content,preprint,7776,0,0,0,0,0,0,209,0,7776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7441,7441,0,0,0,7551,7551,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-30,EAS,IDN,posted-content,report,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-30,EAS,IDN,proceedings,NA,121,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-30,EAS,IDN,proceedings-article,NA,11513,38,23,816,96,0,96,3399,1753,21,0,0,0,0,0,0,137,0,0,0,0,0,0,0,77,77,0,0,0,94,94,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-30,EAS,IDN,proceedings-series,NA,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-30,EAS,IDN,report,NA,1696,0,0,0,0,0,0,1751,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,54,0,0,0,85,85,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-30,EAS,IDN,report-component,NA,32,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-30,EAS,JPN,book,NA,175,0,0,0,0,0,0,442,49,0,0,0,0,0,0,0,0,0,15,14,0,0,14,22,18,16,0,2,0,57,51,0,6,0,0,0,0,0,0,0,0,0,0,0
2026-04-30,EAS,JPN,book-chapter,NA,602,0,0,0,0,0,0,381,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-30,EAS,JPN,component,NA,1503,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-30,EAS,JPN,dataset,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-30,EAS,JPN,grant,NA,13526,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13526,13526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-30,EAS,JPN,journal,NA,103,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-30,EAS,JPN,journal-article,NA,2702573,810308,719682,14959490,9752757,1803686,7949071,7231043,14788,8035,43081,805,796,816,622,194,6167,0,7015,12688,0,0,5636,10142,11582,11576,0,8,0,26141,26133,0,8,0,2408,2404,0,12,5330,5318,0,12,0,197
2026-04-30,EAS,JPN,journal-issue,NA,662,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,10,0,16,2,0,14,0,0,0,0,0,0,0,0,0,0,0
2026-04-30,EAS,JPN,journal-volume,NA,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-30,EAS,JPN,posted-content,preprint,52,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-30,EAS,JPN,proceedings,NA,291,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-30,EAS,JPN,proceedings-article,NA,30408,3581,3540,54453,50232,49263,969,17003,19,0,3605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-30,EAS,JPN,report,NA,764,0,0,0,0,0,0,805,351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,54,0,0,0,144,144,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-30,EAS,JPN,report-series,NA,12,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-30,EAS,KHM,book,NA,11,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-30,EAS,KHM,journal,NA,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-30,EAS,KHM,journal-article,NA,670,79,70,3059,1851,1146,705,1129,520,241,0,0,0,0,0,0,270,0,0,0,0,0,0,0,46,46,0,0,0,58,58,0,0,0,9,9,0,0,12,12,0,0,0,0
2026-04-30,EAS,KHM,journal-issue,NA,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-30,EAS,KHM,proceedings,NA,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-30,EAS,KHM,proceedings-article,NA,29,11,9,294,133,133,0,3,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-30,EAS,KHM,report,NA,174,0,0,0,0,0,0,123,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,160,160,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-30,EAS,KOR,book,NA,29,2,2,17,11,0,11,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-30,EAS,KOR,book-chapter,NA,43,9,5,50,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-30,EAS,KOR,component,NA,7761,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-30,EAS,KOR,database,NA,53,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-30,EAS,KOR,dataset,NA,388,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-30,EAS,KOR,dissertation,NA,154,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-30,EAS,KOR,journal,NA,1558,1,1,26,7,0,7,377,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-30,EAS,KOR,journal-article,NA,1272871,604521,539644,12211662,8701828,4172442,4529386,3475856,109204,266639,324611,2022,1983,2158,1991,167,284999,0,96523,101421,0,0,82244,125139,117290,117290,6,1,0,434023,434016,6,1,0,8,8,0,0,44,44,0,0,0,190
2026-04-30,EAS,KOR,journal-issue,NA,17338,1,1,2,2,0,2,49,0,0,1,0,0,0,0,0,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-30,EAS,KOR,proceedings,NA,8,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-30,EAS,KOR,proceedings-article,NA,6651,0,0,0,0,0,0,3025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-30,EAS,KOR,proceedings-series,NA,22,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-30,EAS,KOR,report,NA,244,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-30,EAS,LAO,book,NA,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-30,EAS,LAO,database,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-30,EAS,LAO,journal,NA,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-30,EAS,LAO,journal-article,NA,1764,127,123,4435,3527,48,3479,3663,1207,633,551,1,1,1,1,0,864,0,0,0,0,0,0,0,159,156,0,1,2,262,258,0,1,3,36,36,0,0,94,94,0,0,0,0
2026-04-30,EAS,LAO,journal-issue,NA,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-30,EAS,LAO,posted-content,other,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
